Surface,Court,ranking_diff,AvgW,AvgL,win
Clay,Outdoor,-27,1.98,1.79,0
Clay,Outdoor,164,11.28,1.03,0
Clay,Outdoor,39,5.21,1.15,0
Clay,Outdoor,247,6.44,1.1,0
Clay,Outdoor,10,5.68,1.13,1
Clay,Outdoor,-78,1.05,9.19,1
Clay,Outdoor,76,2.18,1.65,1
Clay,Outdoor,40,1.83,1.91,0
Clay,Outdoor,-92,1.56,2.38,0
Clay,Outdoor,31,2.26,1.61,1
Clay,Outdoor,62,4.07,1.22,0
Clay,Outdoor,-51,1.08,7.22,1
Clay,Outdoor,-154,1.51,2.5,1
Clay,Outdoor,21,2.35,1.57,0
Clay,Outdoor,-45,1.17,4.8,1
Clay,Outdoor,58,3.73,1.26,0
Clay,Outdoor,-27,3.9,1.24,1
Clay,Outdoor,134,3.58,1.27,1
Clay,Outdoor,209,10.47,1.04,0
Clay,Outdoor,-93,1.28,3.56,0
Clay,Outdoor,-70,1.01,15.09,1
Clay,Outdoor,70,10.86,1.04,0
Clay,Outdoor,20,2.55,1.49,1
Clay,Outdoor,188,2.73,1.42,1
Clay,Outdoor,-153,1.05,9.02,1
Clay,Outdoor,70,2.11,1.69,0
Clay,Outdoor,6,3.33,1.31,0
Clay,Outdoor,-28,1.96,1.79,0
Clay,Outdoor,15,2.33,1.58,1
Clay,Outdoor,-57,1.54,2.42,1
Clay,Outdoor,41,2.54,1.5,0
Clay,Outdoor,-20,1.36,3.04,1
Clay,Outdoor,147,7.35,1.08,0
Clay,Outdoor,86,1.15,5.21,1
Clay,Outdoor,94,6.12,1.11,0
Clay,Outdoor,184,10.23,1.03,0
Clay,Outdoor,62,6.65,1.1,0
Clay,Outdoor,19,2.58,1.48,0
Clay,Outdoor,84,4.45,1.19,0
Clay,Outdoor,-55,2.18,1.66,0
Clay,Outdoor,116,7.45,1.08,1
Clay,Outdoor,-94,1.03,12.1,1
Clay,Outdoor,-3,2.37,1.56,0
Clay,Outdoor,76,4.46,1.19,1
Clay,Outdoor,34,5.88,1.12,0
Clay,Outdoor,12,1.65,2.18,1
Clay,Outdoor,-20,1.18,4.55,1
Clay,Outdoor,61,4.22,1.21,0
Clay,Outdoor,-63,1.16,4.94,0
Clay,Outdoor,-50,1.04,10.49,1
Clay,Outdoor,-15,1.17,4.84,1
Clay,Outdoor,146,3.88,1.24,0
Clay,Outdoor,53,2.76,1.42,0
Clay,Outdoor,5,2.77,1.42,0
Clay,Outdoor,-37,1.17,4.81,1
Clay,Outdoor,-125,1.01,13.43,1
Clay,Outdoor,653,18.96,1.01,0
Clay,Outdoor,19,1.65,2.17,1
Clay,Outdoor,-13,1.81,1.94,1
Clay,Outdoor,20,2.26,1.61,1
Clay,Outdoor,-123,1.14,5.21,1
Clay,Outdoor,95,10.9,1.03,0
Clay,Outdoor,67,9.12,1.05,0
Clay,Outdoor,-86,1.18,4.68,1
Clay,Outdoor,-91,1.16,4.92,1
Clay,Outdoor,-19,2.13,1.68,0
Clay,Outdoor,-118,1.15,5.16,1
Clay,Outdoor,-10,2.11,1.68,0
Clay,Outdoor,69,16.68,1.01,0
Clay,Outdoor,-103,1.69,2.11,0
Clay,Outdoor,-107,1.07,7.94,1
Clay,Outdoor,50,8.19,1.07,0
Clay,Outdoor,104,6.42,1.1,0
Clay,Outdoor,27,2.01,1.75,0
Clay,Outdoor,50,6.25,1.11,0
Clay,Outdoor,-57,1.37,2.85,1
Clay,Outdoor,49,4.1,1.22,0
Clay,Outdoor,77,5.55,1.11,1
Clay,Outdoor,-138,1.18,4.65,1
Clay,Outdoor,-39,1.22,4.04,1
Clay,Outdoor,42,24.56,1.01,0
Clay,Outdoor,-127,1.14,5.31,1
Clay,Outdoor,43,3.37,1.3,1
Clay,Outdoor,85,6.09,1.11,0
Clay,Outdoor,-73,1.04,10.67,1
Clay,Outdoor,-243,1.06,8.53,1
Clay,Outdoor,31,3.35,1.3,0
Clay,Outdoor,-78,1.12,5.73,1
Clay,Outdoor,-117,1.16,4.84,1
Clay,Outdoor,38,3.05,1.35,1
Clay,Outdoor,58,7.41,1.08,0
Clay,Outdoor,81,2.84,1.4,0
Clay,Outdoor,164,19.14,1.01,0
Clay,Outdoor,-26,1.34,3.13,1
Clay,Outdoor,45,2.92,1.38,0
Clay,Outdoor,40,2.7,1.43,0
Clay,Outdoor,-68,1.09,6.99,1
Clay,Outdoor,27,4.71,1.17,0
Clay,Outdoor,2,2.89,1.39,0
Clay,Outdoor,-106,1.19,4.44,0
Clay,Outdoor,27,2.76,1.42,0
Clay,Outdoor,16,6.56,1.1,1
Clay,Outdoor,34,6.08,1.11,0
Clay,Outdoor,-13,2.18,1.65,0
Clay,Outdoor,35,3.6,1.28,0
Clay,Outdoor,26,3.89,1.23,0
Clay,Outdoor,80,4.63,1.17,1
Clay,Outdoor,31,17,1.01,0
Clay,Outdoor,-23,1.09,7.19,1
Clay,Outdoor,5,3.11,1.35,0
Clay,Outdoor,-4,1.93,1.82,0
Clay,Outdoor,13,2.26,1.62,1
Clay,Outdoor,-95,1.07,7.86,1
Clay,Outdoor,87,3.15,1.34,0
Clay,Outdoor,27,17.53,1.01,0
Clay,Outdoor,12,2.08,1.71,1
Clay,Outdoor,6,4.37,1.21,1
Clay,Outdoor,3,1.44,2.72,1
Clay,Outdoor,24,3.91,1.25,1
Clay,Outdoor,19,10.06,1.05,0
Clay,Outdoor,10,2.73,1.45,0
Clay,Outdoor,-25,1.03,13.11,1
Clay,Outdoor,5,3.82,1.26,0
Grass,Outdoor,186,5.76,1.12,1
Grass,Outdoor,20,2.39,1.55,1
Grass,Outdoor,488,3.84,1.24,0
Grass,Outdoor,51,6.65,1.1,0
Grass,Outdoor,-1,1.86,1.86,1
Grass,Outdoor,15,3.02,1.36,1
Grass,Outdoor,167,3.88,1.24,1
Grass,Outdoor,5,1.95,1.79,1
Grass,Outdoor,7,2.3,1.58,1
Grass,Outdoor,-83,1.68,2.11,0
Grass,Outdoor,-61,1.46,2.61,1
Grass,Outdoor,-164,1.48,2.56,1
Grass,Outdoor,63,13.26,1.02,0
Grass,Outdoor,-70,1.17,4.7,1
Grass,Outdoor,-303,1.23,3.97,1
Grass,Outdoor,206,2.49,1.5,0
Grass,Outdoor,2,1.69,2.1,1
Grass,Outdoor,12,3.19,1.33,0
Grass,Outdoor,-105,2.35,1.56,1
Grass,Outdoor,-128,1.58,2.3,1
Grass,Outdoor,-26,1.27,3.59,1
Grass,Outdoor,-129,1.33,3.19,0
