Surface,Court,ranking_diff,AvgW,AvgL,win
Clay,Outdoor,-12,1.7,2.1,1
Clay,Outdoor,18,3.01,1.37,1
Clay,Outdoor,-17,1.17,4.78,1
Clay,Outdoor,16,1.27,3.62,0
Clay,Outdoor,-22,1.4,2.87,1
Clay,Outdoor,71,3.34,1.31,0
Clay,Outdoor,14,2.55,1.5,1
Clay,Outdoor,-15,2.46,1.53,1
Clay,Outdoor,-6,1.41,2.81,0
Clay,Outdoor,-32,1.22,4.18,1
Clay,Outdoor,12,1.82,1.93,1
Clay,Outdoor,-3,2.18,1.66,0
Clay,Outdoor,10,4.47,1.2,1
Grass,Outdoor,-108,1.28,3.53,1
Grass,Outdoor,-563,1.9,1.83,0
Grass,Outdoor,-33,3.23,1.31,0
Grass,Outdoor,16,1.59,2.29,1
Grass,Outdoor,-22,2.11,1.68,1
Grass,Outdoor,21,1.74,2.02,0
Grass,Outdoor,-47,2.33,1.56,1
Grass,Outdoor,-11,1.97,1.77,0
Grass,Outdoor,-180,1.93,1.81,0
Grass,Outdoor,-80,2.45,1.52,0
Grass,Outdoor,11,3.91,1.24,0
Grass,Outdoor,100,1.91,1.82,1
Grass,Outdoor,-58,1.19,4.48,1
Grass,Outdoor,108,2.84,1.4,0
Grass,Outdoor,260,3.06,1.35,0
Grass,Outdoor,-13,2.39,1.54,0
Grass,Outdoor,148,2.54,1.49,0
Grass,Outdoor,-1,1.51,2.47,0
Grass,Outdoor,-17,1.77,1.97,1
Grass,Outdoor,-47,1.6,2.27,1
Grass,Outdoor,-30,2.12,1.69,0
Grass,Outdoor,-37,1.78,1.96,0
Grass,Outdoor,-55,2.51,1.5,0
Grass,Outdoor,12,1.45,2.64,0
Grass,Outdoor,-113,1.33,3.17,0
Grass,Outdoor,96,2.42,1.53,0
Grass,Outdoor,58,2.43,1.53,0
Grass,Outdoor,17,1.89,1.84,1
Grass,Outdoor,80,2.72,1.43,1
Grass,Outdoor,-47,1.59,2.29,1
Grass,Outdoor,-242,1.19,4.36,1
Grass,Outdoor,5,1.38,2.9,1
Grass,Outdoor,522,1.5,2.5,1
Grass,Outdoor,85,2.37,1.55,1
Grass,Outdoor,-135,1.22,4.12,0
Grass,Outdoor,22,2.49,1.51,0
Grass,Outdoor,-55,1.41,2.76,1
Grass,Outdoor,91,5.38,1.14,0
Grass,Outdoor,144,4.95,1.16,0
Grass,Outdoor,114,2.86,1.39,1
Grass,Outdoor,99,2.53,1.49,1
Grass,Outdoor,-56,1.37,2.95,1
Grass,Outdoor,71,2.95,1.39,1
Grass,Outdoor,69,5.54,1.13,0
Grass,Outdoor,174,3.69,1.26,0
Grass,Outdoor,46,3.7,1.24,0
Grass,Outdoor,60,3.31,1.31,0
Grass,Outdoor,-596,1.46,2.7,1
Grass,Outdoor,-127,1.09,6.75,1
Grass,Outdoor,-169,1.13,5.49,0
Grass,Outdoor,-12,1.36,2.91,1
Grass,Outdoor,82,2.12,1.69,0
Grass,Outdoor,168,6.28,1.1,0
Grass,Outdoor,10,2.11,1.68,0
Grass,Outdoor,-6,2.74,1.42,1
Grass,Outdoor,132,4.66,1.18,0
Grass,Outdoor,1,2.19,1.63,1
Grass,Outdoor,-35,1.59,2.29,1
Grass,Outdoor,4,1.68,2.11,0
Grass,Outdoor,-27,1.2,4.28,1
Grass,Outdoor,-14,2.04,1.73,0
Grass,Outdoor,-16,1.44,2.7,0
Grass,Outdoor,-7,1.59,2.28,0
Grass,Outdoor,-94,1.19,4.47,1
Grass,Outdoor,89,2.96,1.37,1
Grass,Outdoor,7,2.77,1.41,0
Grass,Outdoor,51,3.99,1.23,1
Grass,Outdoor,296,3.07,1.35,1
Grass,Outdoor,-10,1.59,2.29,0
Grass,Outdoor,-7,1.88,1.86,1
Grass,Outdoor,-52,1.24,3.91,0
Grass,Outdoor,-18,1.55,2.39,1
Grass,Outdoor,329,4.79,1.16,0
Grass,Outdoor,-37,1.37,2.95,1
Grass,Outdoor,17,4.13,1.21,0
Grass,Outdoor,-40,1.34,3.09,1
Grass,Outdoor,38,2.67,1.44,1
Grass,Outdoor,4,2.18,1.64,1
Grass,Outdoor,11,1.8,1.94,0
Grass,Outdoor,55,3.71,1.26,0
Grass,Outdoor,6,3.46,1.29,1
Grass,Outdoor,-80,1.83,1.91,0
Grass,Outdoor,93,3.1,1.35,1
Grass,Outdoor,3,1.39,2.86,1
Grass,Outdoor,-85,1.36,3.02,0
Grass,Outdoor,190,2.71,1.44,0
Grass,Outdoor,25,2.31,1.57,0
Grass,Outdoor,42,2,1.76,1
Grass,Outdoor,47,3.54,1.28,1
Grass,Outdoor,16,3.02,1.36,0
Grass,Outdoor,4,1.41,2.8,1
Grass,Outdoor,-87,1.19,4.39,1
Grass,Outdoor,16,2.6,1.47,1
Grass,Outdoor,-20,1.29,3.47,1
Grass,Outdoor,-66,1.42,2.76,1
Grass,Outdoor,-4,1.35,3.03,0
Grass,Outdoor,-87,1.49,2.53,0
Grass,Outdoor,-10,2.95,1.38,0
Grass,Outdoor,-3,1.85,1.88,1
Grass,Outdoor,-37,1.11,5.97,1
Grass,Outdoor,-19,1.47,2.58,1
Grass,Outdoor,-25,1.32,3.21,0
Grass,Outdoor,40,2.04,1.72,1
Grass,Outdoor,-9,2.24,1.61,1
Grass,Outdoor,78,3.09,1.35,0
Grass,Outdoor,-53,1.85,1.89,1
Grass,Outdoor,-45,1.48,2.57,1
Grass,Outdoor,25,1.93,1.81,1
Grass,Outdoor,33,5.8,1.12,0
Grass,Outdoor,-22,1.5,2.52,0
Grass,Outdoor,-52,1.26,3.73,1
Grass,Outdoor,1,2.16,1.66,1
Grass,Outdoor,-56,1.12,5.77,1
Grass,Outdoor,14,4.96,1.16,0
Grass,Outdoor,32,2.14,1.67,0
Grass,Outdoor,18,1.18,4.69,0
Grass,Outdoor,156,5.09,1.15,0
Grass,Outdoor,-80,1.13,5.62,1
Grass,Outdoor,59,4.97,1.16,0
Grass,Outdoor,-24,1.29,3.45,0
Grass,Outdoor,59,2.67,1.45,0
Grass,Outdoor,-19,1.64,2.19,1
Grass,Outdoor,113,13.03,1.02,0
Grass,Outdoor,2,1.85,1.88,1
Grass,Outdoor,-26,1.57,2.33,0
Grass,Outdoor,-21,2.59,1.47,0
Grass,Outdoor,129,2.18,1.65,0
Grass,Outdoor,-22,1.33,3.22,1
Grass,Outdoor,-156,1.61,2.26,1
Grass,Outdoor,-49,1.46,2.63,0
Grass,Outdoor,-51,1.18,4.65,1
Grass,Outdoor,-168,1.24,3.92,1
Grass,Outdoor,15,2.71,1.43,0
Grass,Outdoor,-4,2.36,1.56,1
Grass,Outdoor,-127,1.38,2.9,1
Grass,Outdoor,-231,1.1,6.38,1
Grass,Outdoor,14,2.64,1.45,0
Grass,Outdoor,49,4.09,1.22,0
Grass,Outdoor,65,4.85,1.16,0
Grass,Outdoor,11,1.27,3.65,1
Grass,Outdoor,-100,1.37,2.95,0
Grass,Outdoor,-57,1.61,2.25,1
Grass,Outdoor,-100,1.37,2.95,1
Grass,Outdoor,41,9.33,1.05,0
Grass,Outdoor,17,1.46,2.62,1
Grass,Outdoor,63,3.35,1.31,0
Grass,Outdoor,89,15.62,1.02,0
Grass,Outdoor,-30,1.69,2.12,1
Grass,Outdoor,-61,1.07,7.89,1
Grass,Outdoor,-29,1.3,3.37,1
Grass,Outdoor,-81,1.57,2.33,1
Grass,Outdoor,85,2.46,1.52,1
Grass,Outdoor,-74,1.09,6.72,1
Grass,Outdoor,82,5.94,1.12,0
Grass,Outdoor,147,15.26,1.02,0
Grass,Outdoor,53,2.5,1.5,1
Grass,Outdoor,-74,1.39,2.88,0
Grass,Outdoor,-25,1.79,1.95,1
Grass,Outdoor,-95,1.4,2.83,0
Grass,Outdoor,-110,2.01,1.75,1
Grass,Outdoor,7,2.22,1.62,1
Grass,Outdoor,17,3.17,1.33,0
Grass,Outdoor,37,2.34,1.57,1
Grass,Outdoor,20,2.02,1.74,1
Grass,Outdoor,-110,1.04,10.13,1
Grass,Outdoor,33,2.63,1.45,0
Grass,Outdoor,-1,2.22,1.63,0
Grass,Outdoor,-76,1.08,7.49,1
Grass,Outdoor,49,9.79,1.04,0
Grass,Outdoor,4,1.25,3.81,0
Grass,Outdoor,-29,1.22,4.13,1
Grass,Outdoor,171,4,1.23,0
Grass,Outdoor,43,2.73,1.42,0
Grass,Outdoor,-9,1.53,2.42,0
Grass,Outdoor,61,2.94,1.38,0
Grass,Outdoor,-27,1.57,2.34,0
Grass,Outdoor,-34,2.79,1.41,0
Grass,Outdoor,31,1.48,2.58,0
Grass,Outdoor,-46,1.13,5.53,1
Grass,Outdoor,-63,1.15,5.12,1
Grass,Outdoor,39,2.18,1.64,1
Grass,Outdoor,57,9.59,1.05,0
Grass,Outdoor,39,2.98,1.37,1
Grass,Outdoor,-26,1.45,2.65,0
Grass,Outdoor,40,1.97,1.77,1
Grass,Outdoor,-96,1.04,9.97,1
Grass,Outdoor,-95,1.33,3.17,1
Grass,Outdoor,70,6.07,1.11,0
Grass,Outdoor,-65,1.14,5.36,1
Grass,Outdoor,-41,1.53,2.43,1
Grass,Outdoor,57,2.28,1.6,1
Grass,Outdoor,-69,1.33,3.23,1
Grass,Outdoor,-57,1.15,5.29,1
Grass,Outdoor,126,5.73,1.12,0
Grass,Outdoor,-59,1.33,3.23,1
Grass,Outdoor,10,5.23,1.14,0
Grass,Outdoor,-38,1.61,2.25,0
Grass,Outdoor,-66,1.11,6.17,1
Grass,Outdoor,-97,1.02,13.12,1
Grass,Outdoor,96,6.9,1.09,0
Grass,Outdoor,127,4.81,1.17,0
Grass,Outdoor,-108,1.22,4.09,1
Grass,Outdoor,-46,1.27,3.57,0
Grass,Outdoor,-85,1.04,10.53,1
Grass,Outdoor,-43,1.2,4.34,0
Grass,Outdoor,-17,1.7,2.08,1
Grass,Outdoor,-13,1.57,2.33,1
Grass,Outdoor,55,3.59,1.27,1
Grass,Outdoor,-55,1.28,3.55,1
Grass,Outdoor,137,7.15,1.08,0
Grass,Outdoor,-117,1.02,12.84,1
Grass,Outdoor,-123,1.11,6.15,1
Grass,Outdoor,20,7.73,1.07,0
Grass,Outdoor,2,1.31,3.32,1
Grass,Outdoor,-27,1.24,3.94,1
Grass,Outdoor,-13,1.47,2.59,0
Grass,Outdoor,-3,2.02,1.75,0
Grass,Outdoor,-25,1.12,5.87,1
Grass,Outdoor,-38,1.65,2.17,0
Grass,Outdoor,25,4,1.23,0
Grass,Outdoor,51,4.35,1.2,1
Grass,Outdoor,45,12.72,1.03,0
Grass,Outdoor,62,4.4,1.19,0
Grass,Outdoor,-28,1.32,3.28,1
Grass,Outdoor,-51,1.07,8.19,1
Grass,Outdoor,-56,1.23,3.92,0
Grass,Outdoor,-49,2.18,1.65,0
Grass,Outdoor,-3,2.04,1.74,0
Grass,Outdoor,-18,1.74,2.04,0
